;username;text;sentiment;clean_teks
904;@Rismaa202;deklarasi sahabat ganjar untuk mendukung Ganjar menjadi presiden 2024 sekaligus mensukseskan Ganjar di pilpres 2024 #DeklarasiSaGaDKIJakarta;Positif;deklarasi sahabat ganjar dukung ganjar presiden sukses ganjar pilpres deklarasisagadkijakarta
905;@Geraldi74;Ganjar Pranowo sendiri disebut-sebut sebagai salah satu kandidat kuat pada Pilpres 2024. #DeklarasiSaGaDKIJakarta;Positif;ganjar pranowo disebutsebut salah kandidat kuat pilpres deklarasisagadkijakarta
906;@Dnok_Ayu;"Yes 
Sahabat Ganjar benar2 guncang Indonesia.

Hari ini sahabat Ganjar gelar #DeklarasiSaGaDKIJakarta.

What moment.
Sebuah dukungan nyata pd pak 
@ganjarpranowo
 u/ maju pd Pilpres 2024.
Keren";Positif;ya sahabat ganjar guncang indonesia sahabat ganjar gelar deklarasisagadkijakarta momen dukung nyata pd ganjarpranowo maju pd pilpres keren
907;@sobatobon;Terdaftar di Kesbangpol Provinsi, Partai Buruh Exco Provinsi Jawa Tengah Siap Lolos Verifikasi ke Pemilu 2024 http://dlvr.it/SR5ZDZ;Positif;daftar kesbangpol provinsi partai buruh exco provinsi jawa lolos verifikasi milu
908;@John_Gleewoe;"Ada Hikmah Tersendiri jika seOrang 
@aniesbaswedan
 kehilangan dukungan dari Mereka..tak perlu lgi ada Isu Politk Identitas bermain pake Ayat² & Mayat² ..Pemilu 2024 kelak..Semoga..";Positif;hikmah sendiri aniesbaswedan hilang dukung merekatak isu politk identitas main pakai ayat mayat milu kelaksemoga
909;@KPU_KonaweUtara;"#TemanPemilih simak kabar dari 
@KPU_ID
 berikut ini...

Ketua KPU RI Hasyim Asy’ari, Anggota KPU RI Mochammad Afifuddin, bersama Sekjen KPU RI Bernad Dermawan Sutrisno hadir dalam acara pengarahan dan konsolidasi menghadapi Pemilu dan Pemilihan Serentak Tahun 2024...";Positif;temanpemilih simak kabar kpu id ketua kpu ri hasyim asyari anggota kpu ri mochammad afifuddin sekjen kpu ri bernad dermawan sutrisno hadir acara arah konsolidasi hadap milu pilih serentak
910;@posbakumpranaja;Anis Matta Harap Capres di Pilpres 2024 Merupakan Tokoh-tokoh Reformasi, untuk Selesaikan PR yang Belum Selesai;Positif;anis matta harap capres pilpres tokohtokoh reformasi selesai pr selesai
911;@jawapos;KPU Beberkan Rincian Anggaran Pemilu 2024;Netral;kpu kan rincian anggar milu
912;@ruangpolitikcom;"PKB Ingin Pimpin Poros Pilpres 2024, Waketum: Capres Sudah Jelas Cak Imin https://ruangpolitik.com/2022/05/25/pkb-ingin-pimpin-poros-pilpres-2024-waketum-capres-sudah-jelas/… via 
@ruangpolitikcom";Positif;pkb pimpin poros pilpres waketum capres cak imin via ruangpolitikcom
913;@SINDOnews;Andika Perkasa Jadi Saksi Nikah Adik Jokowi, Kode untuk Pilpres 2024?;Netral;andika perkasa saksi nikah adik jokowi kode pilpres
914;@intimeID;"Anggaran Pemilihan Umum (Pemilu) Serentak 2024 mencapai Rp76,656 triliun. Data usulan anggaran Pemilu 2024 meliputi anggaran tahun 2022, 2023, dan 2024. 
Simak pemanfaatan dana Pemilu di http://intime.id 

https://buff.ly/3MRVIqz

#Bawaslu #KPURI #Pemilu2024";Positif;anggar pilih milu serentak capai rupiah triliun data usul anggar milu liput anggar simak manfaat dana milu bawaslu kpuri milu
915;@aewin86;"Wkwkwk...

Untuk capres pilihan ketiga Ganjar atau Anies. Keduanya sulit untuk maju berdua sbg capres.

Duet Ganjar-Anies Hindari Polarisasi pada Pilpres 2024";Positif;wkwkwk capres pilih tiga ganjar anies sulit maju dua capres duet ganjaranies hindar polarisasi pilpres
916;@citaprasada_;PDIP Siap Ikut Proses Verifikasi Partai Peserta Pemilu 2024, Megawati Sampaikan 3 Poin Penting - https://nusajawa.id/pdip-siap-ikut-proses-verifikasi-partai-peserta-pemilu-2024-megawati-sampaikan-3-poin-penting/…;Positif;pdip proses verifikasi partai serta milu megawati poin
917;@NusaJawa_ID;PDIP Siap Ikut Proses Verifikasi Partai Peserta Pemilu 2024, Megawati Sampaikan 3 Poin Penting - https://nusajawa.id/pdip-siap-ikut-proses-verifikasi-partai-peserta-pemilu-2024-megawati-sampaikan-3-poin-penting/…;Positif;pdip proses verifikasi partai serta milu megawati poin
918;@03__nakula;"10 simpul relawan Jokowi di Jawa Timur menyatakan dukung Erick Thohir di Pilpres 2024. Dukungan yang didapat karena Erick Thohir dianggap mampu merepresentasikan kinerja Presiden Jokowi dengan baik. 
#BangkitBersamaET";Positif;simpul rawan jokowi jawa timur dukung erick thohir pilpres dukung erick thohir anggap representasi kerja presiden jokowi bangkitbersamaet
919;@wisatasenja;"Paling tepat banget untuk para relawan Jokowi memberikan dukungan terhadap proses pencapresan Menteri Erick Thohir pada pilpres 2024. 


@erickthohir
 
#BangkitBersamaET";Positif;banget rawan jokowi dukung proses pencapresan menteri erick thohir pilpres erickthohir bangkitbersamaet
920;@beoneni;"Dukungan untuk 
@erickthohir
 dari para pendukung Jokowi untuk maju Pilpres 2024 mendatang wujud kepercayaan masyarakat bahwa Erick mampu meneruskan perjuangan Presiden Jokowi dalam membangun Indonesia. 
#BangkitBersamaET";Positif;dukung erickthohir dukung jokowi maju pilpres wujud percaya masyarakat erick terus juang presiden jokowi bangun indonesia bangkitbersamaet
921;@lovemyself289;Menurut kalian, siapa orang yang cocok menjadi wakil pak Ganjar Pranowo di Pilpres 2024?;Netral;orang cocok wakil ganjar pranowo pilpres
922;@fragmenkatacom;Anggaran untuk Pemilu 2024 Capai Rp76,6 Triliun, Ini Rinciannya;Positif;anggar milu capai rupiah triliun rinciannya
923;@Golkar2024;"Hasil survei Indonesia Network Election Survey (INES) menyebutkan, Partai Golkar dan Ketua Umum DPP Partai Golkar Airlangga Hartarto meraih elektabilitas tertinggi.

Partai Golkar dinilai sangat tepat memilih Airlangga sebagai calon presiden di Pemilu 2024.";Positif;hasil survei indonesia jaring election survey ines partai golkar ketua dpp partai golkar airlangga hartarto raih elektabilitas tinggi partai golkar nilai pilih airlangga calon presiden milu
924;@YanHarahap;"Hadapi Pemilu 2024, ⁦
@PDemokrat
⁩ Perkuat Mesin Partai";Positif;hadap milu pdemokrat kuat mesin partai
925;@doremi_mitsuo;"Kita coba poling yah mana Presiden pilihan Anda di pemilu 2024  , 
@KompasTV
 
@rmol_id
 
@TRANSTV_CORP
 
@OfficialiNewsTV
 
@TVMuhammadiyah
 
@RadioElshinta";Netral;coba poling yah presiden pilih milu kompastv rmol id transtv corp officialinewstv tvmuhammadiyah radioelshinta
926;@michellejakbar;"Relawan pendukung Menteri BUMN Erick Thohir terus menggemakan support untuk jagoannya, agar maju ke Pilpres 2024.

@erickthohir";Positif;rawan dukung menteri bumn erick thohir gema support jago maju pilpres erickthohir
927;@lukisaepul;"digadang2 buat jadi presiden pas pilpres 2024.
kira-kira target kelebihan bayar di APBN nanti yang akan ditarget berapa persen?";Netral;gadang presiden pas pilpres kirakira target lebih bayar apbn target persen
928;@riyadisugeng167;"Kelompok Wayang Pujakesuma (Putra Jawa Kelahiran Sumatra) Lampung mendukung 
@erickthohir
 maju di Pilpres 2024 mendatang. Pujakesuma yakin Erick Thohir mampu melanjutkan kepemimpinan Indonesia di masa depan.

#BangkitBersamaET";Positif;kelompok wayang pujakesuma putra jawa lahir sumatra lampung dukung erickthohir maju pilpres pujakesuma erick thohir lanjut pimpin indonesia bangkitbersamaet
929;@MNCkoranSINDO;Andika Perkasa Jadi Saksi Nikah Adik Jokowi, Kode untuk Pilpres 2024?;Netral;andika perkasa saksi nikah adik jokowi kode pilpres
930;@EmHasanuddin;"""Dari santri untuk negeri. Saya mendukung Cak Imin menjadi capres pada Pilpres 2024,"" Habib Hadi #santri #habib #kaderpkb 

#gusmuhaimin #cakimin #muhaiminiskandar #mabesrakyat";Positif;santri negeri dukung cak imin capres pilpres habib had santri habib kaderpkb gusmuhaimin cakimin muhaiminiskandar mabesrakyat
931;@news_delik;Anies Baswedan-Ganjar Pranowo Mampu Hindari Polarisasi Pemilu 2024;Negatif;anies baswedanganjar pranowo hindar polarisasi milu
932;@ZainalAbdiAlam4;"Didukung Habib, Cak Imin Targetkan PKB Sapu Bersih Pemilu 2024 
Halu Boleh,Gila Jangan !!";Positif;dukung habib cak imin target pkb sapu bersih milu halu bolehgila
933;@sabar_setiabudi;"LAGU  ,  

PILKADA DAN PEMILU  2024

HAK SUARA kita SANGAT menentukan baik / B.U.R.U.K nya Pemimpin Terpilih DAN baik / B.U.R.U.K nya PARTEI  terpilih / Partei  pendukung nya

Jangan PILIH yang GAK BENER , RADIKALIS , NOLAK interpelasi, ANTEK ASING, KORUP

https://youtu.be/MJXncMc2iEE";Positif;lagu pilkada milu hak suara tentu buruk nya pimpin pilih buruk nya partei pilih partei dukung nya pilih bener radikal tolak interpelasi antek asing korup
934;@Beritasatu;Duet Ganjar-Anies Hindari Polarisasi pada Pilpres 2024;Negatif;duet ganjaranies hindar polarisasi pilpres
935;@Novitasary21;Pengamat politik mengatakan Erick Thohir berpeluang diusung PDIP di pilpres 2024;Positif;amat politik erick thohir peluang usung pdip pilpres
936;@PortalkriminalI;Masa Kampanye Pemilu 2024 Dipersingkat, Tuai Kritik dari Kalangan Pengamat;Negatif;kampanye milu singkat tuai kritik kalang amat
937;@batamtoday;PDIP Siap Ikuti Proses Verifikasi Parpol Peserta Pemilu 2024;Positif;pdip ikut proses verifikasi parpol serta milu
938;@mefadilahanjahr;"Pengamat politik menyampaikan Erick Thohir berpeluang diusung PDIP pada pilpres 2024
#ErickThohirJugaKan";Positif;amat politik erick thohir peluang usung pdip pilpres erickthohirjugakan
939;@theZaxsony;"Semakin banyak usaha menjatuhkan  
@aniesbaswedan
, maka semakin mereka beliau bisa menang di pilpres 2024. Insya Allah #Anies Presiden 2024.";Positif;usaha jatuh aniesbaswedan beliau menang pilpres insya allah anies presiden
940;@ardivasatrio;"Pengamat politik menyampaikan Erick Thohir berpeluang diusung PDIP pada pilpres 2024
#ErickThohirJugaKan";Positif;amat politik erick thohir peluang usung pdip pilpres erickthohirjugakan
941;@JakartaNewsID1;Masa Kampanye Pemilu 2024 Dipersingkat, Tuai Kritik dari Kalangan Pengamat;Negatif;kampanye milu singkat tuai kritik kalang amat
942;@suaraindonews_;PDIP Siap Ikuti Proses Verifikasi Parpol Peserta Pemilu 2024;Positif;pdip ikut proses verifikasi parpol serta milu
943;@okezonenews;Hadapi Pemilu 2024, Megawati Sebut Rakernas Ke-2 PDIP Digelar 21-23 Juni 2022;Netral;hadap milu megawati rakernas pdip gelar juni
944;@aruna_aisyah;Erick Thohir berpeluang diusung PDIP di pilpres 2024 #ErickThohirJugaKan;Positif;erick thohir peluang usung pdip pilpres erickthohirjugakan
945;@ajnndotnet;E-Voting Tak akan Dipakai pada Pemilu 2024 https://ajnn.net/news/e-voting-tak-akan-dipakai-pada-pemilu-2024/index.html…;Netral;evoting pakai milu
946;@LeadRedaksi;Arus Dukungan Maju di Pilpres 2024 untuk Sandiaga Uno Muncul di Pamekasan;Positif;arus dukung maju pilpres sandiaga uno muncul pamekasan
947;@galery_ahy;Demokrat Akan Sampaikan Sikap Politik Untuk Pilpres 2024 Pada Awala 2023 https://suara.com/news/2022/05/26/152030/demokrat-akan-sampaikan-sikap-politik-untuk-pilpres-2024-pada-awal-2023…;Netral;demokrat sikap politik pilpres awala
948;@dragonb21395797;"PKI PKI PKI! 

Jelang Pemilu 2024 Megawati Ingatkan Kader PDIP: Kerja, Kerja, Kerja! http://democrazy.id/2022/05/Jelang-Pemilu-2024-Megawati-Ingatkan-Kader-PDIP-Kerja-Kerja-Kerja.html…

#JokowiPembunuhDemokrasi 
#JokowiBangkrutkanRI";Netral;pki pki pki jelang milu megawati ingat kader pdip kerja kerja kerja jokowipembunuhdemokrasi jokowibangkrutkanri
949;@golkarpedia;Anggaran Pemilu 2024, Badan Adhoc Telan Rp 34,4 Triliun;Netral;anggar milu badan adhoc telan rupiah triliun
950;@heraldindo;Anggaran Pemilu 2024 Capai Rp76,656 Triliun, Berikut Rinciannya;Positif;anggar milu capai rupiah triliun rinciannya
951;@AHYm4nt4bb;"Demokrat Akan Sampaikan Sikap Politik untuk Pilpres 2024 pada Awal 2023
https://suara.com/news/2022/05/26/152030/demokrat-akan-sampaikan-sikap-politik-untuk-pilpres-2024-pada-awal-2023…";Netral;demokrat sikap politik pilpres
952;@zonasatunews1;Habib Umar Al Hamid: Pemilu 2024, Jika Tujuannya Hanya Memilih Presiden Bisa Membawa Petaka Buat Bangsa Ini;Negatif;habib umar al hamid milu tuju pilih presiden bawa petaka bangsa
953;@dinsyaifudin_;Percyalah pemenang Pilpres 2024 adalah siapapun yang bisa ngehandle orang-orang di kolom comment IG Maudy Ayunda.;Positif;percyalah menang pilpres ngehandle orangorang kolom komen ig maudy ayunda
954;@gila_hickey;ketar-ketir pascah pilpres 2024 , dan untuk melindungi diri adalah dengan menghidupkan multi fungsi TNI.;Positif;ketarketir pascah pilpres lindung hidup multi fungsi tni
955;@rsaupwr;Andika Perkasa Masuk Radar Nasdem Untuk Pilpres 2024, Pengamat: Wajar;Positif;andika perkasa masuk radar nasdem pilpres amat wajar
956;@amir_eksepsi;Kompaknya Ganjar Pranowo dan Tri Rismaharani, Dampingi Jokowi Blusukan di Solo, Kode Pilpres 2024?;Netral;kompak ganjar pranowo tri rismaharani damping jokowi blusukan solo kode pilpres
957;@JeonMyeo;"Pengamat Politik STISIP Harits Hijrah Wicaksana, menilai Erick Thohir berpeluang besar Pilpres 2024. Kinerja  di nilai lebih profesional dan bahkan mengelola BUMN dinilai luar biasa dengan keuntungan di peroleh dari perusahaan plat merah.

#BangkitBersamaET";Positif;amat politik stisip harits hijrah wicaksana nilai erick thohir peluang pilpres kerja nilai profesional kelola bumn nilai untung oleh usaha plat merah bangkitbersamaet
958;@tvOneNews;"Siapa Kuat di Pilpres 2024?
Saksikan beritanya di Kabar Petang bersama Andromeda Mercury & Tysaa Novenny pukul 17.00 WIB hanya di tvOne & live streaming di http://linktr.ee/tvonenews 

#KabarPetangtvOne #CariBeritatvOne";Positif;kuat pilpres saksi berita kabar petang andromeda mercury tysaa novenny wib tvone live streaming kabarpetangtvone cariberitatvone
959;@idntimes;Ada 8 juta anggota badan ad hoc dalam pemilu 2024;Netral;juta anggota badan hoc milu
960;@Andreansyah_088;"Pengamat :

@erickthohir
 berpeluang diusung PDIP pada PilPres 2024 mendatang.  
#BangkitBersamaET";Positif;amat erickthohir peluang usung pdip pilpres bangkitbersamaet
961;@NewsIndonesia5;Pelaku UMKM Pamekasan Deklarasi Dukung Sandiaga Uno Maju Pilpres 2024;Positif;laku umkm pamekasan deklarasi dukung sandiaga uno maju pilpres
962;@MustBee17;"Menanggapi tren rating elektoral survei Erick Thohir yang tetus bergerak naik, pengamat politik Universitas Lampung, Arizka Warganegara PhD menilai Erick Tohir sanga potensial untuk maju di Pilpres 2024.
#BangkitBersamaET";Positif;tanggap tren rating elektoral survei erick thohir tetus gerak amat politik universitas lampung arizka warganegara phd nilai erick tohir sanga potensial maju pilpres bangkitbersamaet
963;@akbarryaz;"Pengamat politik Emrus Sihombing mengatakan jika ada gerakan sejumlah relawan Jokowi yg mendukung Menteri BUMN Erick Thohir agar maju di pilpres 2024 sbg bentuk kepercayaan kepada 
@erickthohir
.

#BangkitBersamaET";Positif;amat politik emrus sihombing gera rawan jokowi dukung menteri bumn erick thohir maju pilpres bentuk percaya erickthohir bangkitbersamaet
964;@akbarryaz;"Menjelang Pemilu Presiden tahun 2024, pengamat politik dari Unila menilai Menteri BUMN Erick Thohir adalah sosok muda yang potensial.
Selain itu, pak 
@erickthohir
 diharapkan hanya perlu meningkatkan komunikasi politik dng publik.

#BangkitBersamaET";Positif;jelang milu presiden amat politik unila nilai menteri bumn erick thohir sosok muda potensial erickthohir harap tingkat komunikasi politik publik bangkitbersamaet
965;@_poldabanten;"Polri Siapkan Pengamanan G20 dan Pemilu 2024

#PendekarBanten
Polda Banten
@silitongashinto
@divisihumaspolri";Positif;polri siap aman milu pendekarbanten polda banten silitongashinto divisihumaspolri
966;@Kimi58486332;"Penduduk nya yang naik dapat KTP baru saat pilpres 2024 harusnya bertambah 10 juta jiwa 2 juta x 5 remaja yg KTP baru , harusnya naik , ini malah berkurang 47.000 pemilih dari pemilu 2019, kan aneh ?  
@PKSejahtera
  apa ada pemilih ganda 10 juta saat pemilu 2019 
@DPR_RI";Positif;duduk nya ktp pilpres tambah juta jiwa juta x remaja ktp kurang pilih milu aneh pksejahtera pilih ganda juta milu dpr ri
967;@_rakyatmerdeka;Anggaran Pemilu 2024, Badan Adhoc Telan Rp 34,4 Triliun;Netral;anggar milu badan adhoc telan rupiah triliun
968;@hariankompas;"Langkah koalisi Partai Golkar dengan PAN dan PPP membuka peluang terbentuknya poros baru di Pilpres 2024. Nama Ganjar Pranowo turut disebut-sebut menjadi bagian dari perbincangan warganet terkait koalisi Golkar. #Riset 
@andreas_yog
 #AdadiKompas";Positif;langkah koalisi partai golkar pan ppp buka peluang bentuk poros pilpres nama ganjar pranowo disebutsebut bincang warganet kait koalisi golkar riset andreas yog adadikompas
969;@edy_siregar_77;Hasilnya, jumlah DPT Pemilu 2024 sampai Maret 2022, berkurang sebanyak 47.438 orang dibanding DPT pada bulan Februari yakni 190.621.207 pemilih.;Positif;hasil milu maret kurang orang banding februari pilih
970;@Baba97Alie;"Jelang Pilpres 2024, pengamat politik menilai, Erick Thohir sosok muda potensial dan sangat berpeluang menjadi calon presiden pada Pemilihan Presiden (Pilpres) 2024 mendatang.


@erickthohir

#BangkitBersamaET";Positif;jelang pilpres amat politik nilai erick thohir sosok muda potensial peluang calon presiden pilih presiden pilpres erickthohir bangkitbersamaet
971;@kpuwajokab;#TemanPemilih, Rabu 25 Mei 2022,  KPU Kabupaten Wajo Menghadiri undangan  KPU Provinsi Sulawesi Selatan dalam rangka Rapat Pimpinan Persiapan Pelaksanaan Tahapan  Pemilu dan Pemilihan Serentak Tahun 2024,KPU Provinsi dan KPU Kabupaten/Kota Se-Sulawesi Selatan Di ~;Netral;temanpemilih rabu mei kpu kabupaten wajo hadir undang kpu provinsi sulawesi selatan rangka rapat pimpin siap laksana tahap milu pilih serentak kpu provinsi kpu kabupatenkota sesulawesi selatan
972;@sewu_nuwun;"HOAX ini sangat berbahaya .. 
Pemilu 2024 masih lama, tapi para bangsat yg tak suka Anies Baswedan sudah berkampanye hitam menjelekkan nama baik Beliau .. 
#JokowiPembunuhDemokrasi 
#JokowiPembunuhDemokrasi";Negatif;hoax bahaya milu bangsat suka anies baswedan kampanye hitam jelek nama beliau jokowipembunuhdemokrasi jokowipembunuhdemokrasi
973;@golkarpedia;"“Seluruh kader harus semakin solid, militan & menggunakan kelebihan potensinya untuk pemantapan kemenangan Golkar & Airlangga Hartarto di Pileg & Pilpres 2024, sangat penting untuk memenangkan Pilkada nanti,” 

Ketua DPD I Partai Golkar Aceh, TM Nurlif

https://golkarpedia.com/id/baca/26262-tepis-isu-munaslub-tm-nurlif-tegaskan-golkar-se-aceh-solid-bersama-airlangga-hartarto…";Positif;kader solid militan lebih potensi mantap menang golkar airlangga hartarto pileg pilpres menang pilkada ketua dpd i partai golkar aceh tm nurlif
974;@Baba97Alie;"Pengamat politik dari Sekolah Tinggi Ilmu Sosial dan Ilmu Politik (STISIP) Setia Budhi Rangkasbitung Harits Hijrah Wicaksana menyebutkan Menteri BUMN Erick Thohir sangat berpeluang menjadi calon presiden pada Pemilihan Presiden (Pilpres) 2024.


@erickthohir

#BangkitBersamaET";Positif;amat politik sekolah ilmu sosial ilmu politik stisip setia budhi rangkasbitung harits hijrah wicaksana menteri bumn erick thohir peluang calon presiden pilih presiden pilpres erickthohir bangkitbersamaet
975;@MahaBhisma;Kepala daerah model ini yang mau dipromosikan jadi RI-1 lewat Pilpres 2024. Artinya yang mempromosikan, mendukung, dan mencalonkan adalah kaum dungu yang akan melanggengkan penderitaan rakyat Indonesia.;Positif;kepala daerah model promosi ri pilpres promosi dukung calon kaum dungu langgeng derita rakyat indonesia
976;@Supriyanto_st8;Pilpres 2024, Puan Jadi Figur Capres Perempuan Harapan Publik https://beritasatu.com/politik/922213/relawan-perempuan-siap-anta… #PuanPM;Positif;pilpres puan figur capres perempuan harap publik puanpm
977;@radartangsel;Pj Gubernur Tegaskan Provinsi Banten Siap Sukseskan Pemilu 2024;Positif;pj gubernur tegas provinsi banten sukses milu
978;@mediaindonesia;Pemilu 2024, KPU Sebut Jumlah Pemilih Mencapai 190 Juta Jiwa;Positif;milu kpu pilih capai juta jiwa
979;@MahaBhisma;"Kalau dekat Pemilu 2024,si dia jadi alim. Tampil bak ustada. Apakah dia gak ingat pernah berujar, bahwa pendidikan agama harus dihapuskan dari kurikulum pendidikan. Sebab beragama menghalangi kemajuan suatu bangsa.

Kalau gak ingat dg ucapannya, berarti dia lagi mabuk saat itu.";Positif;milu si alim tampil bak ustada didik agama hapus kurikulum didik agama halang maju bangsa ucap mabuk
980;@albert_mandroe;"#BongkarSampaiTuntas
Kami Mayoritas Rakyat Cerdas Anti Korupsi NKRI Mendesak 
@KPK_RI
 Utk Segera Bongkar Aliran Dana  Siluman Besar 10M ke MUI Utk Pilpres 2024 &  Harus Segera Panggil Anwar Abbas The Man MUI Behind Of This Big Case Krn Semua Orang Sama di Muka Hukum..!!";Positif;bongkarsampaituntas mayoritas rakyat cerdas anti korupsi nkri desak kpk ri bongkar alir dana siluman m mui pilpres panggil anwar abbas the man mui behind of this big case orang muka hukum
981;@BurhanSaidi;"Hari ini kita bahas Konstelasi Koalisi Partai di Pemilu 2024 bila PT tetap 20% 
1. PDIP & Gerindra
2. Golkar, PAN & PPP
3. PKS, Nasdem & Demokrat 
PKB ?
Atau
1. PDIP 
2. PKB & Gerindra
3. Golkar,PAN & Nasdem
4. Demokrat,PKS,PPP 

Kursi Partai pengusung Anies Dipastikan akn Naik";Positif;bahas konstelasi koalisi partai milu pt pdip gerindra golkar pan ppp pks nasdem demokrat pkb pdip pkb gerindra golkarpan nasdem demokratpksppp kursi partai usung anies akn
982;@tempodotco;Andika Perkasa Masuk Radar Nasdem Untuk Pilpres 2024, Pengamat: Wajar https://nasional.tempo.co/read/1595335/andika-perkasa-masuk-radar-nasdem-untuk-pilpres-2024-pengamat-wajar?utm_source=Twitter&utm_medium=Digital%20Marketing&utm_campaign=dlvrit… #TempoNasional;Positif;andika perkasa masuk radar nasdem pilpres amat wajar temponasional
983;@jpnncom;Panglima TNI Andika Perkasa merespons dukungan sukarelawan agar dia maju mendampingi Ganjar Pranowo pada Pilpres 2024. Panglima mengucapkan terima kasih. #panglimatni;Positif;panglima tni andika perkasa respons dukung sukarelawan maju damping ganjar pranowo pilpres panglima terima kasih panglimatni
984;@Wakles2;"Pengamat sebut Erick Thohir berpeluang jadi capres pada pilpres 2024, karena trend rating elektoral Erick Thohir terus bergerak naik dari hasil berbagai survey.

#BangkitBersamaET";Positif;amat erick thohir peluang capres pilpres trend rating elektoral erick thohir gerak hasil survey bangkitbersamaet
985;@Aprilia_wiji;"Pasangan Ganjar Pranowo dan Erick Thohir semakin sering diperbincangkan oleh masyarakat, seiring simulasi yg dilakukan oleh beberapa lembaga survei.
Pasangan Gubernur Jawa Tengah Ganjar Pranowo dan Menteri BUMN 
@erickthohir
 dinilai potensial pada Pilpres 2024.

#BangkitBersamaET";Netral;pasang ganjar pranowo erick thohir bincang masyarakat iring simulasi lembaga survei pasang gubernur jawa ganjar pranowo menteri bumn erickthohir nilai potensial pilpres bangkitbersamaet
986;@heraldindo;“Dengan personil lengkap, maka KPU Provinsi Jawa Barat sudah sangat siap untuk melaksanakan tahapan-tahapan Pemilu 2024;Positif;personil lengkap kpu provinsi jawa barat laksana tahapantahapan milu
987;@NusadailyCom;"Menakar ‘Kesaktian’ Jokowi Menangkan Calonnya di Pilpres 2024
Menakar ‘Kesaktian’ Jokowi Menangkan Calonnya di Pilpres 2024";Positif;takar sakti jokowi menang calon pilpres takar sakti jokowi menang calon pilpres
988;@kumparan;Hasilnya, jumlah DPT Pemilu 2024 sampai Maret 2022, berkurang sebanyak 47.438 orang dibanding DPT pada bulan Februari yakni 190.621.207 pemilih.;Positif;hasil milu maret kurang orang banding februari pilih
989;@Sumsel_RMOL;http://rmolsumsel.id -  Pilpres 2024 Kemungkian 3 Poros, PKB Gabung Koalisi Indonesia Bersatu;Positif;pilpres kemungkian poros pkb gabung koalisi indonesia satu
990;@BimoBanten;"Nah benarkan akhirnya para relawan Jokowi memberikan dukungan terhadap proses pencapresan Menteri Erick Thohir pada pilpres 2024. 
@erickthohir
 
 #BangkitBersamaET";Positif;benar rawan jokowi dukung proses pencapresan menteri erick thohir pilpres erickthohir bangkitbersamaet
991;@FaujanNazan;"Beberapa pengamat melihat kalo menteri BUMN erick thohir berpeluang diusung PDIP pada Pilpres 2024 nih gais 
#ErickThohirJugaKan";Positif;amat menteri bumn erick thohir peluang usung pdip pilpres nih gais erickthohirjugakan
992;@OposisiCerdas;Habib Umar Al Hamid: Pemilu 2024, Jika Tujuannya Hanya Memilih Presiden Bisa Membawa Petaka Buat Bangsa Ini;Negatif;habib umar al hamid milu tuju pilih presiden bawa petaka bangsa
993;@HendriS90;"Pengamat politik Setia Budhi Rangkasbitung Harits Hijrah Wicaksana menyebutkan Menteri Badan Usaha Milik Negara (BUMN) 
@erickthohir
  sangat berpeluang menjadi calon presiden pada Pemilihan Presiden (Pilpres) 2024.
#BangkitBersamaET";Netral;amat politik setia budhi rangkasbitung harits hijrah wicaksana menteri badan usaha milik negara bumn erickthohir peluang calon presiden pilih presiden pilpres bangkitbersamaet
994;@Metro_TV;"Masih 2 tahun lagi untuk Pemilu 2024, namun peta koalisi partai politik terus memanas.

Bagaimana peta koalisi di Pilpres 2024? Siapa saja calon presiden yang akan diusung?

Saksikan #MetroTVKontroversi ""KOALISI KEPAGIAN"" Kamis (26/5) pukul 22.05 WIB.";Positif;milu peta koalisi partai politik panas peta koalisi pilpres calon presiden usung saksi metrotvkontroversi koalisi pagi kamis wib
995;@tvOneNews;Diduetkan dengan Ganjar di Pilpres 2024, Panglima TNI Angkat Bicara;Netral;duet ganjar pilpres panglima tni angkat bicara
996;@KompasData;"Langkah koalisi Partai Golkar dengan PAN dan PPP membuka peluang terbentuknya poros baru di Pilpres 2024. Nama Ganjar Pranowo turut disebut-sebut menjadi bagian dari perbincangan warganet terkait koalisi Golkar. 
@andreas_yog
 #LitbangKompas #Riset";Positif;langkah koalisi partai golkar pan ppp buka peluang bentuk poros pilpres nama ganjar pranowo disebutsebut bincang warganet kait koalisi golkar andreas yog litbangkompas riset
997;@DEWITOGEL1;KPU jabarkan rincian anggaran Pemilu 2024;Netral;kpu jabar rincian anggar milu
998;@DEWITOGEL1;Bawaslu menggandeng perguruan tinggi di Riau awasi Pemilu 2024;Netral;bawaslu gandeng guru riau awas milu
999;@OposisiCerdas;Pilpres 2024 Kemungkinan Tiga Poros: Prabowo-Puan, Airlangga-Ganjar dan Anies-AHY;Netral;pilpres poros prabowopuan airlanggaganjar aniesahy
1000;@news_wanheart;KPU Sebut Tahapan Pemilu 2024 Punya Potensi Timbulkan Gesekan;Positif;kpu tahap milu potensi timbul gesek
1001;@bintangku206;ayo viralkan...yg teriak paling NKRI, paling Pancasila lagi ngumpet di kolam butex! ebong & buzer Laknat Sampah NKRI, Pulangkan TKA RRC, KAMI Lintas Provinsi: Mereka Berpotensi Kacaukan Pilpres 2024;Negatif;ayo viralkanyg teriak nkri pancasila sembunyi kolam butex ebong buzer laknat sampah nkri pulang tka rrc lintas provinsi potensi kacau pilpres
